words,808s & Heartbreak,Graduation,JESUS IS KING,Late Registration,My Beautiful Dark Twisted Fantasy,The College Dropout,The Life of Pablo,Yeezus,ye
bhasker,2,0,0,0,4,0,0,0,0
bibi,0,0,0,0,0,0,1,0,0
big,2,5,0,4,3,3,5,1,1
bigass,0,0,0,0,1,0,0,0,0
biggaveli,0,0,0,0,0,0,1,0,0
bigger,0,1,0,1,0,1,0,0,0
biggie,0,0,0,0,0,2,0,0,0
biggs,0,1,0,0,0,1,0,0,0
bigheaded,0,0,0,0,0,1,0,0,0
bigs,0,1,0,0,0,0,0,0,0
bike,0,0,2,1,0,1,0,1,0
bill,0,0,0,1,0,2,3,0,1
billi,0,0,0,0,0,0,1,0,0
billion,0,1,0,1,1,0,0,0,0
billionaire,0,0,0,0,0,0,1,0,0
bimmer,0,0,0,1,0,0,0,0,0
bind,0,0,0,0,0,0,1,0,0
bink,0,0,0,0,1,0,0,0,0
bipolar,0,0,0,0,0,0,0,0,1
bird,0,0,0,0,1,1,1,0,0
birth,0,0,0,0,0,1,0,0,0
birthday,0,0,0,2,1,1,1,1,0
bit,0,0,0,1,0,1,0,0,0
bitch,1,3,0,5,7,3,12,7,3
bite,0,0,0,0,0,1,0,1,0
bitin,0,0,0,0,0,0,0,1,0
bitter,0,0,2,0,0,0,0,0,0
bittersweet,0,1,0,0,1,0,0,1,0
bk,0,0,0,0,0,1,0,0,0
blac,0,0,0,0,0,0,1,0,0
black,0,4,0,5,4,6,3,4,0
blackball,0,0,0,0,1,0,0,0,0
blackberry,0,0,0,0,0,0,0,1,0
blacked,0,0,0,0,0,0,0,1,0
blackened,0,0,0,0,0,0,1,0,0
blacker,0,0,0,1,0,0,0,0,0
blackie,0,0,0,0,0,1,0,0,0
blacking,0,1,0,0,0,0,0,0,0
blackjack,0,0,0,0,1,0,0,0,0
blackmailed,0,0,0,0,1,0,0,0,0
blackstreet,0,1,0,0,0,0,0,0,0
blame,0,0,0,1,2,2,2,0,0
blamin,0,0,0,0,0,0,1,0,0
blaow,0,0,0,0,0,1,0,0,0
blap,0,1,0,0,0,0,0,0,0
blasted,0,0,0,0,1,0,0,0,0
blaze,0,0,0,1,0,1,0,0,0
blazin,0,0,0,0,0,0,0,1,0
blazing,0,0,0,1,0,0,0,0,0
bleach,0,0,0,0,0,0,1,0,0
bleached,0,0,2,0,0,0,1,0,0
bleau,0,0,0,0,0,0,0,1,0
bleed,0,0,0,0,0,0,0,0,1
bleek,0,0,0,1,0,0,0,0,0
bless,0,0,0,0,1,1,0,0,0
